#Firmware: Speeduino 2019.03
PriLevel,SecLevel,Trigger,Sync,RefTime,MaxTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms,ms
0.0,0.0,0.0,1.0,269.424,528.32,4.712,269.424
1.0,0.0,0.0,1.0,278.128,528.32,8.704,278.128
0.0,0.0,0.0,1.0,282.444,528.32,4.316,282.444
1.0,0.0,0.0,1.0,289.392,528.32,6.948,289.392
0.0,0.0,0.0,1.0,293.436,528.32,4.044,293.436
1.0,0.0,0.0,1.0,299.704,528.32,6.268,299.704
0.0,0.0,0.0,1.0,303.644,528.32,3.94,303.644
1.0,0.0,0.0,1.0,309.744,528.32,6.1,309.744
0.0,0.0,0.0,1.0,313.712,528.32,3.968,313.712
1.0,0.0,0.0,1.0,319.976,528.32,6.264,319.976
0.0,0.0,0.0,1.0,324.052,528.32,4.076,324.052
1.0,0.0,0.0,1.0,330.832,528.32,6.78,330.832
0.0,0.0,0.0,1.0,335.156,528.32,4.324,335.156
1.0,0.0,0.0,1.0,342.908,528.32,7.752,342.908
0.0,0.0,0.0,1.0,347.564,528.32,4.656,347.564
1.0,0.0,0.0,1.0,357.068,528.32,9.504,357.068
0.0,0.0,0.0,1.0,362.164,528.32,5.096,362.164
0.0,0.0,0.0,1.0,375.644,528.32,13.48,375.644
0.0,0.0,0.0,1.0,375.66,528.32,0.016,375.66
1.0,0.0,0.0,1.0,375.684,528.32,0.024,375.684
0.0,0.0,0.0,1.0,380.64,528.32,4.956,380.64
1.0,0.0,0.0,1.0,388.788,528.32,8.148,388.788
0.0,0.0,0.0,1.0,393.628,528.32,4.84,393.628
1.0,0.0,0.0,1.0,402.38,528.32,8.752,402.38
0.0,0.0,0.0,1.0,406.88,528.32,4.5,406.88
1.0,0.0,0.0,1.0,416.86,528.32,9.98,416.86
0.0,0.0,0.0,1.0,424.412,528.32,7.552,424.412
0.0,0.0,0.0,1.0,424.468,528.32,0.056,424.468
MARK 002
0.0,0.0,0.0,1.0,0.02,528.32,-424.448,0.02
1.0,0.0,0.0,1.0,32.224,528.32,32.204,32.224
0.0,0.0,0.0,1.0,40.712,528.32,8.488,40.712
1.0,0.0,0.0,1.0,75.34,528.32,34.628,75.34
0.0,0.0,0.0,1.0,81.564,528.32,6.224,81.564
1.0,0.0,0.0,1.0,91.944,528.32,10.38,91.944
0.0,0.0,0.0,1.0,96.712,528.32,4.768,96.712
1.0,0.0,0.0,1.0,106.192,528.32,9.48,106.192
0.0,0.0,0.0,1.0,110.588,528.32,4.396,110.588
1.0,0.0,0.0,1.0,118.084,528.32,7.496,118.084
0.0,0.0,0.0,1.0,122.16,528.32,4.076,122.16
1.0,0.0,0.0,1.0,128.504,528.32,6.344,128.504
0.0,0.0,0.0,1.0,132.324,528.32,3.82,132.324
1.0,0.0,0.0,1.0,138.212,528.32,5.888,138.212
0.0,0.0,0.0,1.0,141.904,528.32,3.692,141.904
1.0,0.0,0.0,1.0,147.724,528.32,5.82,147.724
0.0,0.0,0.0,1.0,151.456,528.32,3.732,151.456
1.0,0.0,0.0,1.0,157.488,528.32,6.032,157.488
0.0,0.0,0.0,1.0,161.28,528.32,3.792,161.28
1.0,0.0,0.0,1.0,167.816,528.32,6.536,167.816
0.0,0.0,0.0,1.0,171.792,528.32,3.976,171.792
1.0,0.0,0.0,1.0,179.244,528.32,7.452,179.244
0.0,0.0,0.0,1.0,183.548,528.32,4.304,183.548
1.0,0.0,0.0,1.0,192.58,528.32,9.032,192.58
0.0,0.0,0.0,1.0,197.076,528.32,4.496,197.076
1.0,0.0,0.0,1.0,205.636,528.32,8.56,205.636
0.0,0.0,0.0,1.0,209.888,528.32,4.252,209.888
1.0,0.0,0.0,1.0,219.444,528.32,9.556,219.444
0.0,0.0,0.0,1.0,226.492,528.32,7.048,226.492
1.0,0.0,0.0,1.0,259.728,528.32,33.236,259.728
0.0,0.0,0.0,1.0,264.9,528.32,5.172,264.9
1.0,0.0,0.0,1.0,274.84,528.32,9.94,274.84
0.0,0.0,0.0,1.0,279.452,528.32,4.612,279.452
1.0,0.0,0.0,1.0,290.152,528.32,10.7,290.152
0.0,0.0,0.0,1.0,294.94,528.32,4.788,294.94
1.0,0.0,0.0,1.0,306.132,528.32,11.192,306.132
0.0,0.0,0.0,1.0,310.912,528.32,4.78,310.912
1.0,0.0,0.0,1.0,322.104,528.32,11.192,322.104
0.0,0.0,0.0,1.0,326.856,528.32,4.752,326.856
1.0,0.0,0.0,1.0,336.576,528.32,9.72,336.576
0.0,0.0,0.0,1.0,341.052,528.32,4.476,341.052
1.0,0.0,0.0,1.0,348.296,528.32,7.244,348.296
0.0,0.0,0.0,1.0,352.3,528.32,4.004,352.3
1.0,0.0,0.0,1.0,358.244,528.32,5.944,358.244
