//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-12-2018
//--  Time: 12:34
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 0.0(C), 	Resistance 1: 5800.0 Ohms 
//--    Temperature2: 80.0(C), 	Resistance 2: 320.0 Ohms 
//--    Temperature3: 100.0(C), 	Resistance 3: 180.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
572	58.07	581 	2.793
573	57.89	579 	2.798
574	57.72	577 	2.803
575	57.54	575 	2.808
576	57.36	574 	2.813
577	57.19	572 	2.817
578	57.01	570 	2.822
579	56.83	568 	2.827
580	56.66	567 	2.832
581	56.48	565 	2.837
582	56.31	563 	2.842
583	56.13	561 	2.847
584	55.95	560 	2.852
585	55.78	558 	2.856
586	55.60	556 	2.861
587	55.42	554 	2.866
588	55.25	552 	2.871
589	55.07	551 	2.876
590	54.90	549 	2.881
591	54.72	547 	2.886
592	54.54	545 	2.891
593	54.37	544 	2.896
594	54.19	542 	2.900
595	54.01	540 	2.905
596	53.84	538 	2.910
597	53.66	537 	2.915
598	53.48	535 	2.920
599	53.31	533 	2.925
600	53.13	531 	2.930
601	52.95	530 	2.935
602	52.78	528 	2.939
603	52.60	526 	2.944
604	52.42	524 	2.949
605	52.25	522 	2.954
606	52.07	521 	2.959
607	51.89	519 	2.964
608	51.72	517 	2.969
609	51.54	515 	2.974
610	51.36	514 	2.979
611	51.18	512 	2.983
612	51.01	510 	2.988
613	50.83	508 	2.993
614	50.65	507 	2.998
615	50.47	505 	3.003
616	50.30	503 	3.008
617	50.12	501 	3.013
618	49.94	499 	3.018
619	49.76	498 	3.022
620	49.59	496 	3.027
621	49.41	494 	3.032
622	49.23	492 	3.037
623	49.05	491 	3.042
624	48.88	489 	3.047
625	48.70	487 	3.052
626	48.52	485 	3.057
627	48.34	483 	3.062
628	48.16	482 	3.066
629	47.98	480 	3.071
630	47.81	478 	3.076
631	47.63	476 	3.081
632	47.45	474 	3.086
633	47.27	473 	3.091
634	47.09	471 	3.096
635	46.91	469 	3.101
636	46.73	467 	3.105
637	46.55	466 	3.110
638	46.37	464 	3.115
639	46.19	462 	3.120
640	46.02	460 	3.125
641	45.84	458 	3.130
642	45.66	457 	3.135
643	45.48	455 	3.140
644	45.30	453 	3.145
645	45.12	451 	3.149
646	44.94	449 	3.154
647	44.76	448 	3.159
648	44.58	446 	3.164
649	44.40	444 	3.169
650	44.22	442 	3.174
651	44.03	440 	3.179
652	43.85	439 	3.184
653	43.67	437 	3.188
654	43.49	435 	3.193
655	43.31	433 	3.198
656	43.13	431 	3.203
657	42.95	429 	3.208
658	42.77	428 	3.213
659	42.58	426 	3.218
660	42.40	424 	3.223
